"","date","MMWR_Year","MMWR_Week","MMWR_Month","State_Full","State","Population","Region","Region_Name","Cases","New_Hosp","Total_Hosp","ICU_Hosp","Covid_Deaths","Series_Complete","Series_Complete_Pct","Booster","Bivalent_Booster","Bivalent_Booster_Pct"
"1",2020-01-25,2020,4,1,"Alabama","AL",5033094,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"2",2020-01-25,2020,4,1,"Alaska","AK",733017,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"3",2020-01-25,2020,4,1,"Arizona","AZ",7187135,"9","Pacific",1,0,0,0,0,0,0,0,0,0
"4",2020-01-25,2020,4,1,"Arkansas","AR",3014546,"6","South Central",0,0,0,0,0,0,0,0,0,0
"5",2020-01-25,2020,4,1,"California","CA",39521958,"9","Pacific",2,0,0,0,0,0,0,0,0,0
"6",2020-01-25,2020,4,1,"Colorado","CO",5787129,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"7",2020-01-25,2020,4,1,"Connecticut","CT",3579918,"1","New England",0,0,0,0,0,0,0,0,0,0
"8",2020-01-25,2020,4,1,"Delaware","DE",991928,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"9",2020-01-25,2020,4,1,"District of Columbia","DC",670917,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"10",2020-01-25,2020,4,1,"Florida","FL",21592035,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"11",2020-01-25,2020,4,1,"Georgia","GA",10732888,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"12",2020-01-25,2020,4,1,"Hawaii","HI",1451252,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"13",2020-01-25,2020,4,1,"Idaho","ID",1849415,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"14",2020-01-25,2020,4,1,"Illinois","IL",12799088,"5","Midwest",1,0,0,0,0,0,0,0,0,0
"15",2020-01-25,2020,4,1,"Indiana","IN",6790497,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"16",2020-01-25,2020,4,1,"Iowa","IA",3191141,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"17",2020-01-25,2020,4,1,"Kansas","KS",2938172,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"18",2020-01-25,2020,4,1,"Kentucky","KY",4508318,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"19",2020-01-25,2020,4,1,"Louisiana","LA",4652301,"6","South Central",0,0,0,0,0,0,0,0,0,0
"20",2020-01-25,2020,4,1,"Maine","ME",1364571,"1","New England",0,0,0,0,0,0,0,0,0,0
"21",2020-01-25,2020,4,1,"Maryland","MD",6177935,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"22",2020-01-25,2020,4,1,"Massachusetts","MA",6994598,"1","New England",1,0,0,0,0,0,0,0,0,0
"23",2020-01-25,2020,4,1,"Michigan","MI",10072703,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"24",2020-01-25,2020,4,1,"Minnesota","MN",5710735,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"25",2020-01-25,2020,4,1,"Mississippi","MS",2958536,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"26",2020-01-25,2020,4,1,"Missouri","MO",6154744,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"27",2020-01-25,2020,4,1,"Montana","MT",1087230,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"28",2020-01-25,2020,4,1,"Nebraska","NE",1963387,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"29",2020-01-25,2020,4,1,"Nevada","NV",3116967,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"30",2020-01-25,2020,4,1,"New Hampshire","NH",1378756,"1","New England",0,0,0,0,0,0,0,0,0,0
